time (s),w,x-axis,y-axis,z-axis,class
1661434227602.288,0.664,-0.171,-0.719,-0.114,0
1661434227615.623,0.638,-0.171,-0.744,-0.105,0
1661434227624.229,0.61,-0.171,-0.768,-0.095,0
1661434227630.2122,0.583,-0.17,-0.789,-0.086,0
1661434227646.167,0.557,-0.17,-0.809,-0.077,0
1661434227660.841,0.532,-0.168,-0.827,-0.068,0
1661434227661.838,0.509,-0.167,-0.842,-0.061,0
1661434227691.215,0.488,-0.165,-0.855,-0.053,0
1661434227698.606,0.469,-0.164,-0.867,-0.047,0
1661434227699.156,0.452,-0.162,-0.876,-0.042,0
1661434227773.151,0.438,-0.159,-0.884,-0.037,0
1661434227774.793,0.426,-0.157,-0.89,-0.033,0
1661434227775.791,0.415,-0.155,-0.896,-0.03,0
1661434227788.12,0.405,-0.153,-0.901,-0.027,0
1661434227795.7349,0.395,-0.151,-0.906,-0.024,0
1661434227796.733,0.386,-0.148,-0.91,-0.022,0
1661434227825.834,0.378,-0.146,-0.914,-0.019,0
1661434227826.652,0.37,-0.144,-0.917,-0.017,0
1661434227827.6628,0.364,-0.142,-0.92,-0.014,0
1661434227833.543,0.359,-0.141,-0.923,-0.012,0
1661434227834.6318,0.356,-0.139,-0.924,-0.011,0
1661434227840.765,0.355,-0.138,-0.924,-0.01,0
1661434227841.614,0.357,-0.138,-0.924,-0.009,0
1661434227843.6338,0.361,-0.137,-0.922,-0.01,0
1661434227848.412,0.368,-0.138,-0.92,-0.011,0
1661434227856.069,0.38,-0.138,-0.915,-0.013,0
1661434227900.746,0.397,-0.14,-0.907,-0.017,0
1661434227915.6448,0.42,-0.141,-0.896,-0.022,0
1661434227923.7312,0.449,-0.143,-0.882,-0.03,0
1661434227924.3928,0.481,-0.145,-0.864,-0.038,0
1661434227930.4658,0.517,-0.147,-0.842,-0.048,0
1661434227931.3718,0.555,-0.149,-0.817,-0.059,0
1661434227932.37,0.593,-0.15,-0.788,-0.071,0
1661434227938.588,0.63,-0.151,-0.757,-0.082,0
1661434227945.334,0.666,-0.151,-0.724,-0.095,0
1661434227968.344,0.701,-0.15,-0.689,-0.107,0
1661434227976.253,0.735,-0.15,-0.651,-0.119,0
1661434227977.25,0.766,-0.148,-0.612,-0.131,0
1661434227983.277,0.794,-0.146,-0.572,-0.144,0
1661434227998.406,0.82,-0.144,-0.532,-0.156,0
1661434228005.535,0.842,-0.141,-0.493,-0.167,0
1661434228036.355,0.862,-0.138,-0.453,-0.178,0
